2026-04-10 19:08:18,D1A3CD5B58CE,-2,-20,1041,0
2026-04-10 19:08:18,D1A3CD5B58CE,0,-21,1040,0
2026-04-10 19:08:18,D1A3CD5B58CE,0,-16,1039,0
2026-04-10 19:08:18,D1A3CD5B58CE,0,-16,1039,0
2026-04-10 19:08:18,E669EF1B414D,9,-11,968,0
2026-04-10 19:08:18,D1A3CD5B58CE,0,-18,1034,0
2026-04-10 19:08:18,D1A3CD5B58CE,1,-19,1033,0
2026-04-10 19:08:18,D1A3CD5B58CE,0,-19,1034,0
2026-04-10 19:08:18,D1A3CD5B58CE,-1,-16,1033,0
2026-04-10 19:08:18,D1A3CD5B58CE,2,-18,1037,0
2026-04-10 19:08:18,E669EF1B414D,9,-7,966,0
2026-04-10 19:08:18,D1A3CD5B58CE,3,-20,1036,0
2026-04-10 19:08:18,D1A3CD5B58CE,1,-18,1037,0
2026-04-10 19:08:19,D1A3CD5B58CE,0,-17,1036,0
2026-04-10 19:08:19,D1A3CD5B58CE,1,-17,1035,0
2026-04-10 19:08:19,E669EF1B414D,9,-11,966,0
2026-04-10 19:08:19,D1A3CD5B58CE,-1,-18,1039,0
2026-04-10 19:08:19,D1A3CD5B58CE,-2,-21,1038,0
2026-04-10 19:08:19,D1A3CD5B58CE,2,-17,1032,0
2026-04-10 19:08:19,D1A3CD5B58CE,0,-17,1037,0
2026-04-10 19:08:19,E669EF1B414D,5,-5,964,0
2026-04-10 19:08:19,D1A3CD5B58CE,1,-19,1041,0
2026-04-10 19:08:19,D1A3CD5B58CE,0,-18,1035,0
2026-04-10 19:08:20,D1A3CD5B58CE,0,-18,1036,0
2026-04-10 19:08:20,D1A3CD5B58CE,0,-19,1037,0
2026-04-10 19:08:20,D1A3CD5B58CE,2,-15,1039,0
2026-04-10 19:08:20,D1A3CD5B58CE,1,-19,1034,0
2026-04-10 19:08:20,E669EF1B414D,11,-9,964,0
2026-04-10 19:08:20,D1A3CD5B58CE,0,-18,1037,0
2026-04-10 19:08:20,D1A3CD5B58CE,1,-16,1034,0
2026-04-10 19:08:20,D1A3CD5B58CE,4,-20,1035,0
2026-04-10 19:08:20,D1A3CD5B58CE,3,-16,1031,0
2026-04-10 19:08:20,D1A3CD5B58CE,3,-17,1036,0
2026-04-10 19:08:20,E669EF1B414D,7,-3,962,0
2026-04-10 19:08:20,D1A3CD5B58CE,4,-17,1038,0
2026-04-10 19:08:20,D1A3CD5B58CE,0,-16,1038,0
2026-04-10 19:08:21,D1A3CD5B58CE,-1,-19,1035,0
2026-04-10 19:08:21,D1A3CD5B58CE,0,-16,1033,0
2026-04-10 19:08:21,D1A3CD5B58CE,0,-16,1036,0
2026-04-10 19:08:21,D1A3CD5B58CE,0,-21,1038,0
2026-04-10 19:08:21,D1A3CD5B58CE,0,-18,1035,0
2026-04-10 19:08:21,D1A3CD5B58CE,3,-19,1036,0
2026-04-10 19:08:21,D1A3CD5B58CE,0,-20,1035,0
2026-04-10 19:08:21,E669EF1B414D,13,-5,968,0
2026-04-10 19:08:21,D1A3CD5B58CE,2,-20,1040,0
2026-04-10 19:08:21,D1A3CD5B58CE,-2,-20,1038,0
2026-04-10 19:08:21,D1A3CD5B58CE,0,-19,1038,0
2026-04-10 19:08:21,D1A3CD5B58CE,0,-15,1032,0
2026-04-10 19:08:21,D1A3CD5B58CE,0,-15,1033,0
2026-04-10 19:08:23,D1A3CD5B58CE,1,-16,1036,0
2026-04-10 19:08:23,E669EF1B414D,7,-9,966,0
2026-04-10 19:08:23,D1A3CD5B58CE,0,-17,1035,0
2026-04-10 19:08:23,D1A3CD5B58CE,0,-18,1034,0
2026-04-10 19:08:23,D1A3CD5B58CE,1,-20,1035,0
2026-04-10 19:08:23,D1A3CD5B58CE,2,-20,1038,0
2026-04-10 19:08:23,E669EF1B414D,7,-9,962,0
2026-04-10 19:08:23,D1A3CD5B58CE,6,-16,1036,0
2026-04-10 19:08:23,D1A3CD5B58CE,2,-17,1036,0
2026-04-10 19:08:23,D1A3CD5B58CE,2,-16,1035,0
2026-04-10 19:08:23,D1A3CD5B58CE,0,-18,1036,0
2026-04-10 19:08:23,D1A3CD5B58CE,0,-19,1037,0
2026-04-10 19:08:23,D1A3CD5B58CE,0,-17,1038,0
2026-04-10 19:08:23,E669EF1B414D,7,-7,962,0
2026-04-10 19:08:23,D1A3CD5B58CE,3,-18,1035,0
2026-04-10 19:08:24,D1A3CD5B58CE,3,-16,1035,0
2026-04-10 19:08:24,D1A3CD5B58CE,-1,-16,1037,0
2026-04-10 19:08:24,D1A3CD5B58CE,0,-17,1036,0
2026-04-10 19:08:24,E669EF1B414D,11,-5,955,0
2026-04-10 19:08:24,D1A3CD5B58CE,0,-16,1036,0
2026-04-10 19:08:24,D1A3CD5B58CE,0,-18,1035,0
